关系类型,人物1,人物2,方向,章节,上下文
兄弟,|  大几  |,炀公,↔,013_三代世表,  |  @太伯@  |    | |  [r4] @穆王@满。作^甫刑^。^荒服^不至。  |  @炀公@，@考公@弟。  |  @癸公@  |  @成侯@  |  大几  |  @熊胜@  |  
兄弟,|,湣公,↔,013_三代世表,伊扈  |  @幽公@  |  @哀公@  |  @厉侯@  |  @大骆@  |  熊炀  |  @湣公@，@丁公@弟。  |  疌伯  |  @慎公@  |  @厉侯@  |  宫伯  |    
兄弟,|,炀公,↔,013_三代世表,  |  @魏公@  |  @胡公@  |  @靖侯@  |  @非子@  |  @熊渠@  |  @炀公@，@湣公@弟。  |  @靖伯@  |  @幽公@  |  @武侯@  |  孝伯  |  
兄弟,公伯,献公,↔,013_三代世表,厘公  |    |  @夷伯@  |    | |  [r8] @夷王@燮，@懿王@子。  |  @献公@，@厉公@弟。  |  @武公@  |    |  @公伯@  |  熊鸷红  |  厘公 
兄弟,信陵君,魏安釐王,↔,077_魏公子列传,0] @魏公子@列传  ## @信陵君@礼贤下士  [1] @魏公子@@无忌@者，魏@昭王@子少子而@魏安釐王@异母弟也。@昭王@薨，@安釐王@即位，封公子为@信陵君@。是时@范睢@亡=魏=相=秦=，
兄弟,"曰：""",管仲,↔,032_齐太公世家,"发兵距&鲁&。%秋%，与&鲁&战于=乾时=，&鲁&兵败走，=齐=兵掩绝&鲁&归道。=齐=遗&鲁&@书@曰：""@子纠@兄弟，弗忍诛，请&鲁&自杀之。@召忽@、@管仲@雠也，请得而甘心醢之。不然，将围&鲁"
兄弟,管仲,"曰：""",↔,032_齐太公世家,"发兵距&鲁&。%秋%，与&鲁&战于=乾时=，&鲁&兵败走，=齐=兵掩绝&鲁&归道。=齐=遗&鲁&@书@曰：""@子纠@兄弟，弗忍诛，请&鲁&自杀之。@召忽@、@管仲@雠也，请得而甘心醢之。不然，将围&鲁"
兄弟,杀,齐侯,↔,032_齐太公世家,"侯於=葵丘=，益有骄色。&周&使$宰孔$会。诸侯颇有叛者。@晋侯@病，後，遇$宰孔$。$宰孔$曰：""@齐侯@骄矣，弟无行。""从之。是岁，@晋献公@卒，@里克@杀@奚齐@、@卓子@，@秦穆公@以@夫人@"
兄弟,子而立,孝公,↔,032_齐太公世家,&宋&，以其不同盟于=齐=也。%夏%，@宋襄公@卒。%七年%，@晋文公@立。  [46] %十年%，@孝公@卒，@孝公弟@潘@因@@卫公@子@开方@杀@孝公@@子而立@潘@，是为@昭公@。@昭公@，@
兄弟,鲁叔孙宣伯,立,↔,032_齐太公世家,"""必杀之。""@崔杼@曰：""民之望也，舍之得民。""  ## @景公@时期  [61] %丁丑%，@崔杼@立@庄公@异母弟@杵臼@，是为@景公@。@景公@母，@鲁叔孙宣伯@女也。@景公@立，以@崔杼@为$"
兄弟,崔杼,崔杼,↔,032_齐太公世家,"。@庆封@欲杀@晏子@，@崔杼@曰：""忠臣也，舍之。""=齐=$太史$@书@曰""@崔杼@弑@庄公@""，@崔杼@杀之。其弟复@书@，@崔杼@复杀之。少弟复@书@，@崔杼@乃舍之。  [62] @景公@%元"
兄弟,"也,伏尸哭极哀,曰:""是=轵深井里=所谓",严仲子,↔,086_刺客列传,"闻人有刺杀&韩&$相$者,贼不得,国不知其名姓,暴其尸而县之*千金*,乃於邑曰:""其是吾弟与?嗟乎,@严仲子@知吾弟!""立起,如&韩&,之市,而死者果@政@也,伏尸哭极哀,曰:""是=轵深井里=所谓@聂"
兄弟,"$%九年%,$","$,而立",↔,033_鲁周公世家,"@为&鲁&$太子$。%夏%,$@武公@$归而卒,@戏@立,是为$@懿公@$。  [9.2] $@懿公@$%九年%,$@懿公@$兄@括@之子@伯御@与&鲁&人攻弑$@懿公@$,而立@伯御@为$君$。@伯"
兄弟,子兰,顷襄王,↔,084_屈原贾生列传,"怀王@$怒,不听。亡走&赵&,&赵&不内。复之&秦&,竟死於&秦&而归葬。  [4.2] @长子@$@顷襄王@$立,以其弟$@子兰@$为$令尹$。&楚&人既咎$@子兰@$以劝$@怀王@$入&秦&而不反"
兄弟,成侯,少子而,↔,075_孟尝君列传,郭君@田婴@封薛  [1] @孟尝君@名文，姓@田氏@。文之父曰靖郭君@田婴@。@田婴@者，@齐威王@少子而@齐宣王@庶弟也。@田婴@自@威王@时任职用事，与@成侯@@邹忌@及@田忌@将而救=韩=伐=
出使,卿$岂有意哉?,秦舞阳,→,086_刺客列传,"待,欲与俱;其人居远未来,而为治行。顷之,未发,$太子$迟之,疑其改悔,乃复请曰:""日已尽矣,$@荆@卿$岂有意哉?@丹@请得先遣@秦舞阳@。""@荆轲@怒,叱$太子$曰:""何$太子$之遣?往而不返者,"
出使,良,良,→,055_留侯世家,汉$王$亦因^令^@良@厚遗@项伯@，使请&汉&中地。项$王$乃许之，遂得&汉&中地。汉$王$之国，@良@送至襃中，遣@良@归=韩=。@良@因说汉$王$曰：“$王$何不烧绝所过*栈道*，示〔天下〕无还
叔侄,、,西伯昌,→,061_伯夷列传,"齐@让@伯夷@。@伯夷@曰：""父命也。""遂逃去。@叔齐@亦不肯立而逃之。国人立其$中子$。於是@伯夷@、@叔齐@闻@西伯昌@善养老，盍往归焉。及至，@西伯@卒，@武王@载木主，号为@文王@，东伐纣。@"
叔侄,由余,"於&宋&,来",→,087_李斯列传,"李斯@议亦在逐中。@斯@乃上书曰:  [4.2] 臣闻吏议逐客,窃以为过矣。昔$@缪公@$求士,西取@由余@於&戎&,东得@百里奚@於=宛=,迎@蹇叔@於&宋&,来@丕豹@、@公孙支@於&晋&。此五子"
叔侄,相,鲜,→,130_太史公自序,祸乱。嘉〚甘棠〛之《诗》，作燕〔世家〕第四。  ## [54] 管蔡世家 [54.1] @管@、@蔡@相@武庚@，将宁旧&商&；及@旦@摄政，二叔不飨；杀@鲜@放@度@，@周公@为盟；@大任@十子，&
叔侄,徵舒,舒,→,036_陈杞世家,杀@灵公@。@孔宁@、@仪行父@皆奔&楚&，@灵公@$太子$@午@奔&晋&。@徵舒@自立为$陈侯$。@徵舒@，故&陈&$大夫$也。@夏姬@，@御叔@之妻，@舒@之母也。  ## @楚庄王伐陈立成公@ 
叔侄,郑君,"曰：""君",→,039_晋世家,"君曰：""&晋&公子贤，而其从者皆国$相$，且又同姓。&郑&之出自@厉王@，而&晋&之出自@武王@。""@郑君@曰：""诸侯亡公子过此者众，安可尽礼！""@叔瞻@曰：""君@不礼@，不如杀之，且後为国患。""@郑"
叔侄,高圉,公叔祖类,→,004_周本纪,仆@卒，子@差弗@立。@差弗@卒，子@毁隃@立。@毁隃@卒，子@公非@立。@公非@卒，子@高圉@立。@高圉@卒，子@亚圉@立。@亚圉@卒，子@公叔祖类@立。@公叔祖类@卒，子@古公亶父@立。  [4.
叔侄,周公,群弟疑,→,004_周本纪,，是为@成王@。  ---  ## @成王@与@周公@  [21] @成王@少，&周&初定〔天下〕，@周公@恐诸侯畔&周&，公乃摄行政当国。@管叔@、@蔡叔@群弟疑@周公@，与@武庚@作乱，畔&周&。
叔侄,$封,蔡叔,→,038_宋微子世家,乃释@微子@，复其位如故。   ## [4] @武王@封@武庚@与访@箕子@  [4.6] $@武王@$封@纣@子@武庚禄父@以续&殷&祀，使$@管叔@$、$@蔡叔@$傅相之。  [5.7] $@武王
叔侄,周公,蔡叔,→,038_宋微子世家,@周公旦@代行政当国。$@管叔@$、$@蔡叔@$疑之，乃与@武庚@作乱，欲袭$@成王@$、@周公@。@周公@既承$@成王@$命诛@武庚@，杀$@管叔@$，放$@蔡叔@$，乃命@微子开@代&殷&後，奉其
叔侄,管仲,鲍叔,→,062_管晏列传,# [0] 管晏列传  ## @管仲@早年  [1] @管仲@@夷吾@者，=颍上=人也。少时常与@鲍叔牙@游，@鲍叔@知其贤。@管仲@贫困，常欺@鲍叔@，@鲍叔@终善遇之，不以为言。已而@鲍叔@事齐@
叔侄,立为,管仲,→,062_管晏列传,欺@鲍叔@，@鲍叔@终善遇之，不以为言。已而@鲍叔@事齐@公子小白@，@管仲@事@公子纠@。及@小白@立为@桓公@，@公子纠@死，@管仲@囚焉。@鲍叔@遂进@管仲@。@管仲@既用，任^政^於=齐=，@
叔侄,$使,婴,→,043_赵世家,"""@赵武@死，谥为$@文子@$。  [5.3] $@文子@$生@景叔@。@景叔@之时，&齐&$@景公@$使@晏婴@於&晋&，@晏婴@与&晋&@叔向@语。@婴@曰：""&齐&之政後卒归@田@氏。""@叔向@"
叔侄,长子曰,周公旦,→,035_管蔡世家,@蔡叔度@者，@周文王@子而@武王@弟也。@武王@同母兄弟%十人%。母曰@太姒@，@文王@正妃也。其@长子曰@伯邑考@，次曰@武王发@，次曰@管叔鲜@，次曰@周公旦@，次曰@蔡叔度@，次曰@曹叔振铎@
叔侄,蔡叔度,霍叔处,→,035_管蔡世家,@太姒@，@文王@正妃也。其@长子曰@伯邑考@，次曰@武王发@，次曰@管叔鲜@，次曰@周公旦@，次曰@蔡叔度@，次曰@曹叔振铎@，次曰@成叔武@，次曰@霍叔处@，次曰@康叔封@，次曰@厓季载@。@厓季
叔侄,子比,子比,→,040_楚世家,"後立，为@平王@，竟续&楚&祀，如其神符。  ## @叔向@论@子比@不能立  [45.49] 初，@子比@自&晋&归，@韩宣子@问@叔向@曰：""@子比@其济乎？""对曰：""不就。""@宣子@曰：""同恶相"
叔侄,齐桓,宾须无,→,040_楚世家,"子也；以神所命，则又远之；民无怀焉，将何以立？""@宣子@曰：""@齐桓@、@晋文@不亦是乎？""对曰：""@齐桓@，@卫姬@之子也，有宠於@釐公@。有@鲍叔牙@、@宾须无@、@隰朋@以为辅，有&莒&、&卫&"
叔侄,文王,武王,→,013_三代世表,- | |  [r1] @成王@诵  |  鲁@周公旦@，@武王@弟。初封。  |  齐@太公@尚，@文王@、@武王@师。初封。  |  @晋唐叔@虞，@武王@子。初封。  |  秦@恶来@，助纣。父
叔侄,、,小白,→,032_齐太公世家,夫人@，杀诛数不当，淫於妇人，数欺$大臣$，群弟恐祸及，故次弟@纠@奔&鲁&。其母~鲁女~也。@管仲@、@召忽@傅之。次弟@小白@奔&莒&，@鲍叔@傅之。@小白@母，~卫女~也，有宠於@釐公@。@小白
叔侄,生,纥,→,047_孔子世家,[1.1] @孔子@生&鲁&=昌平乡陬邑=。其先&宋&人也，曰@孔防叔@。@防叔@生@伯夏@，@伯夏@生@叔梁纥@。@纥@与@颜氏@女野合而生@孔子@，祷於=尼丘=得@孔子@。&鲁&$@襄公@$%二十
叔侄,平子,$三家共攻$,→,047_孔子世家,%三十五%，而$@季平子@$与$@郈昭伯@$以斗*鸡*故得罪&鲁&$@昭公@$，$@昭公@$率师击$@平子@$，$@平子@$与$@孟氏@$、$@叔孙氏@$三家共攻$@昭公@$，$@昭公@$师败，奔於&
叔侄,$欲以$,"谏上曰：""昔者$",→,099_刘敬叔孙通列传,"$  [6.1] &汉&%九年%，$@高帝@$徙@叔孙通@为$太子太傅$。&汉&%十二年%，$@高祖@$欲以$@赵王如意@$易$太子$，@叔孙通@谏上曰：""昔者$@晋献公@$以$@骊姬@$之故废$太子"
叔侄,苏代,恐&秦&、&楚&之内,→,045_韩世家,"&必委国於公。公之所恶者@张仪@也，其实犹不无&秦&也。""於是&楚&解=雍氏=围。  [15.3] @苏代@又谓$秦太后$弟@琇@$戎$曰：""@公叔伯婴@恐&秦&、&楚&之内@虮虱@也，公何不为@韩@"
叔侄,求质子於&楚&？$楚王$听入质子於,知&秦&、&楚&之不以,→,045_韩世家," @苏代@又谓$秦太后$弟@琇@$戎$曰：""@公叔伯婴@恐&秦&、&楚&之内@虮虱@也，公何不为@韩@求质子於&楚&？$楚王$听入质子於@韩@，则@公叔伯婴@知&秦&、&楚&之不以@虮虱@为事，必以@"
叔侄,周公,"及其群弟流言於国曰:""",→,033_鲁周公世家,"1] 其後$@武王@$既崩,$@成王@$少,在强葆之中。@周公@恐〔天下〕闻$@武王@$@崩而@畔,@周公@乃践阼代$@成王@$摄行政当国。@管叔@及其群弟流言於国曰:""@周公@将不利於$@成王@$。"
叔侄,成王,武庚,→,033_鲁周公世家," [4] @周公@平定叛乱  [4.1] @管@、@蔡@、@武庚@等果率~淮夷~而反。@周公@乃奉$@成王@$命,兴师东伐,作^大诰^。遂诛@管叔@,杀@武庚@,放@蔡叔@。收&殷&馀民,以封@康叔@"
叔侄,蔡叔,"於&卫&,封",→,033_鲁周公世家,"@等果率~淮夷~而反。@周公@乃奉$@成王@$命,兴师东伐,作^大诰^。遂诛@管叔@,杀@武庚@,放@蔡叔@。收&殷&馀民,以封@康叔@於&卫&,封@微子@於&宋&,以奉&殷&祀。宁~淮夷~东土,%二"
叔侄,"$,$",周公,→,033_鲁周公世家,"年%而毕定。诸侯咸服宗&周&。  [4.2] 〚天〛降祉福,@唐叔@得〘禾〙,异母同颖,献之$@成王@$,$@成王@$命@唐叔@以餽@周公@於东土,作^餽禾^。@周公@既受命〘禾〙,嘉$天子$命,作^"
叔侄,$取&齐&女为$夫人$曰,开,→,033_鲁周公世家,"@未得杀。会$@庄公@$有疾。$@庄公@$有三弟,长曰@庆父@,次曰@叔牙@,次曰@季友@。$@庄公@$取&齐&女为$夫人$曰@哀姜@。@哀姜@无子。@哀姜@娣曰@叔姜@,生子@开@。$@庄公@$无適"
叔侄,",欲立其子",叔牙,→,033_鲁周公世家,"女为$夫人$曰@哀姜@。@哀姜@无子。@哀姜@娣曰@叔姜@,生子@开@。$@庄公@$无適嗣,爱@孟女@,欲立其子@斑@。$@庄公@$病,而问嗣於弟@叔牙@。@叔牙@曰:""一继一及,&鲁&之常也。@庆父"
叔侄,"在,可为嗣,$君$何忧?""$",庆父,→,033_鲁周公世家,"@,欲立其子@斑@。$@庄公@$病,而问嗣於弟@叔牙@。@叔牙@曰:""一继一及,&鲁&之常也。@庆父@在,可为嗣,$君$何忧?""$@庄公@$患@叔牙@欲立@庆父@,退而问@季友@。@季友@曰:""请以死"
叔侄,"曰:""请以死立",庆父,→,033_鲁周公世家,"之常也。@庆父@在,可为嗣,$君$何忧?""$@庄公@$患@叔牙@欲立@庆父@,退而问@季友@。@季友@曰:""请以死立@斑@也。""$@庄公@$曰:""曩者@叔牙@欲立@庆父@,柰何?""@季友@以$@庄公@"
叔侄,季氏,戾,→,033_鲁周公世家,"@久矣,为徒者众,众将合谋。""弗听。@郈氏@曰:""必杀之。""@叔孙氏@之$臣$@戾@$谓其众曰:""无@季氏@与有,孰利?""皆曰:""无@季氏@是无@叔孙氏@。""@戾@曰:""然,救@季氏@!""遂败公师。@"
叔侄,季氏,"胜,亦杀",→,033_鲁周公世家,"$@戾@$谓其众曰:""无@季氏@与有,孰利?""皆曰:""无@季氏@是无@叔孙氏@。""@戾@曰:""然,救@季氏@!""遂败公师。@孟懿子@闻@叔孙氏@胜,亦杀@郈昭伯@。@郈昭伯@为公使,故@孟氏@得之。三"
叔侄,"曰:""&齐&$","见公还,见",→,033_鲁周公世家,"@$曰:""请致*千社*待$君$。""@子家@曰:""弃@周公@之业而$臣$於&齐&,可乎?""乃止。@子家@曰:""&齐&$@景公@$无信,不如早之&晋&。""弗从。@叔孙@见公还,见@平子@,@平子@顿首。初"
叔侄,景公,"立,是为$",→,033_鲁周公世家,"$@共公@$%二十二年%卒,子@屯@立,是为$@康公@$。$@康公@$%九年%卒,子@匽@立,是为$@景公@$。$@景公@$%二十九年%卒,子@叔@立,是为$@平公@$。是时^六国^皆称$王$。  ["
叔侄,成王,蔡叔,→,037_卫康叔世家,@成王@$治，当国。@管叔@、@蔡叔@疑@周公@，乃与@武庚禄父@作乱，欲攻=成周=。@周公旦@以$@成王@$命兴师伐&殷&，杀@武庚禄父@、@管叔@，放@蔡叔@，以@武庚@&殷&馀民封@康叔@为&卫
叔侄,惧,"曰：""必求&殷&之贤人君",→,037_卫康叔世家,"以@武庚@&殷&馀民封@康叔@为&卫&$君$，居=河=、=淇=间故&商&墟。  [3.3] @周公旦@惧@康叔@齿少，乃申告@康叔@曰：""必求&殷&之贤人君@子长@者，问其先&殷&所以兴，所以亡，而务"
叔侄,蘧瑗,公子朝,→,031_吴太伯世家,"，难将至矣，政必及子。子为政，慎以礼。不然，&郑&国将败。""  [12.2] 去&郑&，適&卫&。说@蘧瑗@、@史狗@、@史@、@公子荆@、@公叔发@、@公子朝@曰：  > ""&卫&多〔君子〕，未有患"
君臣,信,信,→,092_淮阴侯列传,"韩信@也。""上复骂曰：""诸将亡者以%十数%，公无所追；追@信@，诈也。""@何@曰：""诸将易得耳。至如@信@者，国士无双。王必欲长王&汉&中，无所事@信@；必欲争〔天下〕，非@信@无所与计事者。顾王策安"
君臣,何,信,→,092_淮阴侯列传,"奇之。至=南郑=，诸$将行$道亡者%数十人%，@信@度@何@等已数言上，上不我@用@，即亡。@何@闻@信@亡，不及以闻，自追之。人有言上曰：""$丞相@何@$亡。""上大怒，如失左右手。居%一二日%，@何"
君臣,庄襄王,庄襄王,任,087_李斯列传,"士之情也。故@斯@将西说&秦&王矣。""  ## [3] 入秦说@秦王@  [3.1] 至&秦&,会$@庄襄王@$卒,@李斯@乃求为&秦&$相@文信侯@$@吕不韦@$舍人$;@不韦@贤之,任以为$郎$。"
君臣,楚$王$戊,晁错,→,052_齐悼惠王世家,"、=齐=凡七$王$。  ### @七国之乱@  [25] =齐=@孝王@%十一年%，=吴=@王濞@、@楚$王$戊@反，兴兵西，告诸$侯$曰""将诛&汉&贼臣@晁错@以安^宗庙^""。=胶西=、=胶东=、="
君臣,文信侯,甘茂,→,071_樗里子甘茂列传,=。  ## @甘罗@%十二岁%拜相  [15] @甘茂@有孙曰@甘罗@。  [16] @甘罗@者，@甘茂@孙也。茂既死後，@甘罗@年十二，事=秦=相@文信侯@@吕不韦@。  [17] @秦始皇@帝使
君臣,犀首,子之,→,005_秦本纪,城。  [59.8] %十一年%，@醿里疾@攻&魏&=焦=，降之。败&韩&=岸门=，【斩首】万，其将@犀首@走。@公子通@封於~蜀~。&燕&君让其臣@子之@。  [59.9] %十二年%，王与@梁王@
君臣,舜,舜,→,001_五帝本纪,帝尧@问可用者，$四岳$咸荐@虞舜@，曰可。於是@尧@乃以二女妻@舜@以观其内，使九男与处以观其外。@舜@居=妫汭=，内行弥谨。尧二女不敢以贵骄事@舜@亲戚，甚有妇道。尧九男皆益笃。@舜@耕=历山=，
君臣,武帝,霍光,→,020_建元以来侯者年表,|    |    |    |    |    |    | |  [r78] $博陆$  |  @霍光@，家在=平阳=。以兄$骠骑将军$故贵。前事@武帝@，觉捕得$侍中$谋反者马何罗等功侯，三%千
君臣,武帝,浑邪王,→,020_建元以来侯者年表,  |    |    | |  [r79] 秺。  |  金翁叔名日䃅，以&匈奴&@休屠王@太子从@浑邪王@将众五万，降汉@归义@，$侍中$，事@武帝@，觉捕$侍中$谋反者马何罗等功侯，三%千户%。
君臣,武帝,上官桀,→,020_建元以来侯者年表,    |    |    |    |    |    | |  [r80] =安阳=。  |  @上官桀@，家在=陇西=。以善^骑射^从军。稍贵，事@武帝@，为$左将军$。觉捕斩$侍中$谋反者马何
君臣,昭帝,张汤,→,020_建元以来侯者年表,|    |    | |  [r82] 富平。  |  @张安世@，家在=杜陵=。以故$御史大夫$@张汤@子@武帝@时给事$尚书$，为$尚书$令。事@昭帝@，谨厚习事，为$光禄勋$$右将军$。辅政十
君臣,武帝,赵充国,→,020_建元以来侯者年表, |    |    |    |    |    |    | |  [r93] 营平。  |  @赵充国@。以=陇西=$骑士$从军得官，$侍中$，事@武帝@。数将兵击&匈奴&有功，为$护军$$都尉
君臣,庆,意,→,105_扁鹊仓公列传,%一年%所。明岁即验之，有验，然尚未精也。要事之%三年%所，即尝已为人治，诊病决死生，有验，精良。今@庆@已死%十年%所，臣@意@年尽%三年%，年%三十九%岁也。  ## [3] 诊病案例  ### 
君臣,成,意,→,105_扁鹊仓公列传,"九%岁也。  ## [3] 诊病案例  ### [3.1] 齐$侍御史$成头痛案  &齐&$侍御史$@成@自言病头痛，臣@意@诊其脉，告曰：""君之病恶，不可言也。""即出，独告@成@弟@昌@曰：""此病疽"
君臣,$中子$诸婴儿气鬲病,意,→,105_扁鹊仓公列传,"，流络动则脉结发，脉结发则烂解，故络交。热气已上行，至头而动，故头痛。  ### [3.2] @齐王@$中子$诸婴儿气鬲病  @齐王@$中子$诸婴兒@小子@病，召臣@意@诊切其脉，告曰：""气鬲病。病使"
君臣,循,意,→,105_扁鹊仓公列传," &齐&$郎中令$@循@病，众医皆以为蹙入中，而刺之。臣@意@诊之，曰：""涌疝也，令人不得前後溲。""@循@曰：""不得前後溲%三日%矣。""臣@意@饮以火齐汤，一饮得前溲，再饮大溲，三饮而疾愈。病得之内。"
君臣,太后风瘅案,意,→,105_扁鹊仓公列传,"太阴=脉口而希，是水气也。肾固主水，故以此知之。失治一时，即转为寒热。  ### [3.5] @齐王@太后风瘅案  @齐王太后@病，召臣@意@入诊脉，曰：""风瘅客脬，难於大小溲，溺赤。""臣@意@饮以火"
君臣,病得之盛怒,意,→,105_扁鹊仓公列传,"不治。適其共养，此不当医治。""法曰""後%三日%而当狂，妄起行，欲走；後%五日%死""。即如期死。@山跗@病得之盛怒@而以@接内。所以知@山跗@之病者，臣@意@切其脉，肺气热也。脉法曰""不平不鼓，形弊""。"
君臣,意,繇,→,105_扁鹊仓公列传,"$中尉$@潘满如@遗积瘕案  &齐&$中尉$@潘满如@病少腹痛，臣@意@诊其脉，曰：""遗积瘕也。""臣@意@即谓&齐&$太仆$臣@饶@、$内史$臣@繇@曰：""$中尉$不复自止於内，则%三十日%死。""後%"
君臣,潘满如,意,→,105_扁鹊仓公列传,"$臣@繇@曰：""$中尉$不复自止於内，则%三十日%死。""後%二十馀日%，溲血死。病得之酒且内。所以知@潘满如@病者，臣@意@切其脉深小弱，其卒然合合也，是脾气也。右脉口气至紧小，见瘕气也。以次相乘，故"
君臣,赵章,意,→,105_扁鹊仓公列传,"其脉曰：""迵风。""迵风者，饮食下嗌而辄出不留。法曰""%五日%死""，而後%十日%乃死。病得之酒。所以知@赵章@之病者，臣@意@切其脉，脉来滑，是内风气也。饮食下嗌而辄出不留者，法%五日%死，皆为前分界法"
君臣,风蹶案,意,→,105_扁鹊仓公列传,"嗜粥，故中藏实，中藏实故过期。师言曰""安穀者过期，不安穀者不及期""。  ### [3.9] @济北王@风蹶案  @济北王@病，召臣@意@诊其脉，曰：""风蹶胸满。""即为药酒，尽%三石%，病已。得之汗出伏"
君臣,济北王,意,→,105_扁鹊仓公列传," @济北王@病，召臣@意@诊其脉，曰：""风蹶胸满。""即为药酒，尽%三石%，病已。得之汗出伏地。所以知@济北王@病者，臣@意@切其脉时，风气也，心脉浊。病法""过入其阳，^阳气^尽而阴气入""。阴气入张，则"
君臣,女子竖呕血死案,意,→,105_扁鹊仓公列传,"""热蹶也。""则刺其足心各三所，案之无出血，病旋已。病得之饮酒大醉。  ### [3.12] @济北王@女子竖呕血死案  @济北王@召臣@意@诊脉诸女子侍者，至女子@竖@，@竖@无病。臣@意@告$永巷长"
君臣,竖,意,→,105_扁鹊仓公列传,"醉。  ### [3.12] @济北王@女子竖呕血死案  @济北王@召臣@意@诊脉诸女子侍者，至女子@竖@，@竖@无病。臣@意@告$永巷长$曰：""@竖@伤脾，不可劳，法当春呕血死。""臣@意@言王曰："""
君臣,不乳案,意,→,105_扁鹊仓公列传,三升%，出入%五六日%，病已。得之风，及卧开口，食而不嗽。  ### [3.14] @菑川@@王美人@不乳案  @菑川王@$美人$怀子而不乳，来召臣@意@。臣@意@往，饮以莨锽药一撮，以酒饮之，旋乳。
