所属国,类型,名,谥号,别名,父亲,上一任,下一任,出生年,死亡年,登基年,退位年,备注
东越,诸侯王,馀善,东越王（自称武帝）,余善,郢弟,越繇王丑,,,-110,-135,-110,114-004馀善杀郢首降汉，汉立为东越王。元鼎六年秋反汉，刻武帝玺自立。元封元年冬繇王居股杀馀善降汉，东越灭。
东越（东瓯）,诸侯王,摇,东海王（东瓯王）,驺摇,越王句践后裔,,,,,-192,,114-000孝惠三年立摇为东海王，都东瓯，世俗号为东瓯王。建元三年为闽越所围，举国徙江淮之间。
中山国,汉诸侯王,刘昌,中山哀王,,刘胜（中山靖王）,中山靖王,中山王（刘昆侈）,,,,,059五宗世家。中山靖王胜子，立一年卒。
中山国,汉诸侯王,刘昆侈,,,刘昌（中山哀王）,中山哀王,,,,,,059五宗世家。中山哀王昌子，代为中山王。谥号史记未载。
中山国,汉诸侯王,刘胜,中山靖王,,景帝刘启,,（后嗣）,,-112,-154,,
临江国,汉诸侯王,刘阏于,临江哀王,,景帝刘启,,临江闵王刘荣,,-153,-155,-153,
临江国,汉诸侯王,刘荣,临江闵王,废太子荣,景帝刘启,临江哀王刘阏于,,,-148,-150,-148,
临江（共敖）,诸侯王,共敖,临江王,,,,临江哀王共尉,,-205,-206,-205,016表。前206年项羽封故楚柱国共敖为临江王，都江陵。前205年共敖死。见016-074。
临菑,诸侯王,田都,王,,,,,,,-206,,016表格提取
代国,汉诸侯王,刘登,代共王,,刘参（代孝王）,代孝王,代王（刘义）,,,,,058梁孝王世家。代孝王参子，立二十九年，元光二年卒，谥为共王。
代国,汉诸侯王,刘义,代王（后徙清河）,,刘登（代共王）,代共王,,,,,,058梁孝王世家。代共王登子，立十九年，汉广关，以常山为限，徙代王王清河（元鼎三年）。（注意：徙后改为清河王，与景帝子清河哀王刘乘为不同人）
代国,汉诸侯王,刘参,代王（文帝子）,,文帝刘恒,,（后嗣）,,,-178,,
代（陈余）,诸侯王,陈余,代王,成安君,,,,,-204,-205,-204,016表。前205年楚怀王令歇以陈余为代王（故成安君）。前204年汉将韩信斩陈余。
六安国,汉诸侯王,刘庆,六安王,,胶东康王刘寄,,（后嗣）,,,-121,,
匈奴,单于,头曼,匈奴单于头曼,,,,冒顿单于,,-209,,-209,110-5.1秦时匈奴单于曰头曼，头曼不胜秦，北徙。太子冒顿质于月氏后，冒顿杀父头曼自立为单于（约前209年）。
匈奴,单于,冒顿,匈奴冒顿单于,,头曼单于,头曼单于,老上单于稽粥,,-174,-209,-174,110-5.3冒顿杀父头曼自立为单于（约前209年）。灭东胡，逐月氏，并楼烦、白羊河南王，控弦三十余万。白登围汉高祖（前200年）。约前174年死，子稽粥立。
匈奴,单于,稽粥,老上单于,老上稽粥单于,冒顿单于,冒顿单于,军臣单于,,-160,-174,-160,110-17.1冒顿死，子稽粥立，号曰老上单于。孝文帝遣宗室女公主为阏氏，中行说降匈奴。文帝十四年以十四万骑入朔方。约前160年死，子军臣立。
匈奴,单于,军臣,匈奴军臣单于,,老上单于稽粥,老上单于稽粥,伊稚斜单于,,-126,-160,-126,110-22.1老上稽粥死，子军臣立为单于。马邑之谋（前133年）后绝和亲，常侵汉边。约元朔二年（前127年）前死，弟左谷蠡王伊稚斜自立为单于。
匈奴,单于,伊稚斜,匈奴伊稚斜单于,,,军臣单于,乌维单于,,-114,-126,-114,110-26.1军臣单于弟左谷蠡王伊稚斜自立为单于（元朔二年前127年左右）。漠北大战（前119年）后远遁。立十三年死，子乌维立。（元鼎三年前114年）
匈奴,单于,乌维,匈奴乌维单于,,伊稚斜单于,伊稚斜单于,儿单于乌师庐,,-105,-114,-105,110-35.1伊稚斜单于立十三年死，子乌维立为单于（元鼎三年前114年）。汉南诛两越，乌维亦不侵汉边。立十岁死（约太初元年前104年前后），子乌师庐立。
匈奴,单于,乌师庐,儿单于,兒单于,乌维单于,乌维单于,呴犁湖单于,,-102,-105,-102,110-39.1乌维单于立十岁死，子乌师庐立为单于，年少号为儿单于（元封六年前105年）。左大都尉欲降汉，事泄被诛。单于欲自攻受降城，未至病死（太初三年前102年）。
匈奴,单于,呴犁湖,匈奴呴犁湖单于,,,儿单于乌师庐,且鞮侯单于,,-101,-102,-101,110-42.1儿单于立三岁死，匈奴立其季父乌维单于弟右贤王呴犁湖为单于（太初三年前102年）。立一岁死，其弟左大都尉且鞮侯立为单于。
匈奴,单于,且鞮侯,匈奴且鞮侯单于,,,呴犁湖单于,,,,-101,,110-43.1呴犁湖立一岁死，其弟左大都尉且鞮侯立为单于（太初四年前101年）。尽归汉使不降者，路充国等得归。遣中郎将苏武厚币赂遗单于。
南越,诸侯王,婴齐,南越明王,赵婴齐,南越文王赵胡,南越文王赵胡,南越王赵兴,,,,,113-006赵胡太子婴齐代立，藏先武帝玺，称明王。娶邯郸樛氏女，生子兴。元鼎四年前后。薨，谥为明王。
南越,诸侯王,兴,南越王（末王）,赵兴,南越明王赵婴齐,南越明王赵婴齐,赵建德（吕嘉所立）,,-111,,-111,113-007太子兴代立（元鼎四年前后）。太后欲内属汉，吕嘉反，杀王兴及太后，立建德为王。元鼎五年汉军平南越。
南越,诸侯王,尉佗,南越武王（武帝）,赵佗|赵尉佗,,,南越文王赵胡,,-137,-207,-137,113-000秦末自立为南越武王（前207年左右），汉十一年汉封为南越王。高后时自尊为南越武帝。文帝时去帝号称臣。建元四年（前137年）卒。
南越,诸侯王,胡,南越文王,赵胡,赵佗孙,南越武王赵佗,南越明王赵婴齐,,,-137,,113-004赵佗孙胡为南越王（文王）。元朔年间闽越攻南越，上书天子，遣太子婴齐入宿卫。胡薨，谥为文王。
南越,诸侯王,建德,南越末王,赵建德,南越明王婴齐（越妻所生）,南越王赵兴,,,-111,-111,-111,113-009吕嘉弑赵兴后立明王长男越妻子术阳侯建德为王。元鼎六年冬汉军灭南越，建德被执，南越亡。
卫,诸侯侯君,余,共伯,共伯馀,釐侯,釐侯,武公（和）,,,,,037-005。被弟和袭攻，入羡自杀
卫,诸侯侯君,,成公,卫成公,文公,文公,穆公,,,,,037-013。前632年晋文公伐卫分地，成公出奔
卫,诸侯侯君,,献公,卫献公,,,殇公（秋）,,,,-559,037-014/015。前559年被孙文子逐，奔齐，前547年晋纳献公复位
卫,诸侯侯君,,成侯,,,,嗣君,,,,-346,037-020。十六年卫更贬号曰侯（前346年）
卫,诸侯侯君,角,君角,,,元君,,,,,-209,037-021。前209年秦二世废卫君角，卫绝祀
卫,诸侯侯君,封,康叔,卫康叔,周文王,,康伯,,,-1042,,037-001/002。周公东征后封于卫，治殷遗民，后成王举为司寇
卫,诸侯侯君,,釐侯,卫釐侯,靖伯,靖伯,共伯馀,,,-854,,037-004。釐侯十三年周厉王出彘，共和行政；二十八年周宣王立；四十二年卒，太子共伯馀立。014表：841年卫釐侯十四年，推算登基年-854。
卫,诸侯侯君,和,武公,卫武公,釐侯,共伯馀,庄公,,-758,-812,-758,037-005/006。在位55年，前771年犬戎杀幽王，武公佐周平戎，被命为公
卫,诸侯侯君,扬,庄公,卫庄公,武公和,武公,桓公完,,-735,-757,-735,037-007。武公五十五年卒，子庄公扬立。五年取齐女为夫人；十八年公使州吁将；二十三年卒，太子完立（桓公）。014表：757年卫庄公杨元年。
卫,诸侯侯君,,桓公,卫桓公,庄公,庄公,宣公,,-719,-734,-719,037-007。庄公弟州吁弑桓公（前719年）
卫,诸侯侯君,晋,宣公,卫宣公,庄公,桓公（州吁杀）,惠公,,-700,-718,-700,037-007/008。石碏迎桓公弟晋立为宣公，夺太子妻
卫,诸侯侯君,朔,惠公,卫惠公,宣公,宣公,黔牟（短暂）,,,-699,-696,037-009。前696年左右公子怨之，立黔牟为君，惠公奔齐
卫,诸侯侯君,黔牟,,,,,,,,-696,,014表格提取
卫,诸侯侯君,,懿公,卫懿公,,惠公,戴公（申）,,-660,-668,-660,037-011。好鹤亡国，九年翟入杀懿公（前660年）
卫,诸侯侯君,申,戴公,,,懿公,文公,,-659,-660,-659,037-012。懿公被杀后立昭伯子申为戴公，元年卒
卫,诸侯侯君,毁,文公,卫文公,,戴公,成公,,,-658,,037-012。齐桓公立戴公弟毁为文公，筑楚丘
卫,诸侯侯君,鸱,穆公,,,,,,,-599,,014表格提取
卫,诸侯侯君,臧,定公,,,,,,,-588,,014表格提取
卫,诸侯侯君,狄,殇公,,,,,,,-558,,014表格提取
卫,诸侯侯君,恶,襄公,,,,,,,-543,,014表格提取
卫,诸侯侯君,,灵公,,,,,,,-534,,014表格提取
卫,诸侯侯君,辄,出公,卫出公,蒯聩,灵公,庄公（蒯聩）,,,-493,-480,037-017。灵公卒，立蒯聩子辄为出公；前480年孔悝之乱蒯聩归
卫,诸侯侯君,蒯聩,庄公,卫庄公,灵公,出公辄,出公辄（复）,,,-480,-477,037-018/019。孔悝之乱后蒯聩立为庄公，三年出奔
卫,诸侯侯君,君起,,,,,,,,-477,,014表格提取
卫,诸侯侯君,黔,悼公,,,,,,,-455,,015表格提取
卫,诸侯侯君,,敬公,,,,,,,-450,,015表格提取
卫,诸侯侯君,,昭公,,,,,,,-431,,015表格提取
卫,诸侯侯君,亹,悼公,,,,,,,-425,,015表格提取
卫,诸侯侯君,,慎公,,,,,,,-414,,015表格提取
卫,诸侯侯君,,声公,,,,,,,-372,,015表格提取
卫,诸侯侯君,,平侯,,,,,,,-332,,015表格提取
卫,诸侯侯君,,嗣君,,,,,,,-324,,015表格提取
卫,诸侯侯君,,怀君,,,,,,,-282,,015表格提取
卫,诸侯侯君,,元君,,,,,,,-252,,015表格提取
卫氏朝鲜,诸侯王,右渠,朝鲜王右渠,,卫满之孙（传子至孙）,卫满,,,-108,,-108,115-002右渠拒汉使涉何，袭杀涉何。元封二年汉发兵征朝鲜，元封三年夏尼谿相参使人杀右渠降汉，朝鲜为四郡。
卫氏朝鲜,诸侯王,满,朝鲜王卫满,卫满,故燕人,,右渠,,,-194,,115-000惠帝高后时卫满自燕亡命，聚众王之，都王险。辽东太守约为外臣。传子至孙右渠。
吴,诸侯侯君,仲雍,仲雍,,太王,太伯,周章,,,,,太伯弟，太伯无子传仲雍，历数世至周章
吴,诸侯侯君,周章,,,,仲雍后裔,,,,-1046,,周武王克殷后求太伯后，得周章，已为吴君，因封之
吴,诸侯王,寿梦,寿梦,王寿梦,去齐,去齐,诸樊,,-561,-585,-561,寿梦立，吴始大，称王。031-004: 公元前585年，031-007: 公元前561年卒，在位25年
吴,诸侯王,诸樊,诸樊,,寿梦,寿梦,馀祭,,-548,-560,-548,寿梦长子，031-007/031-008。按兄终弟及传馀祭
吴,诸侯王,馀祭,馀祭,王馀祭,寿梦,诸樊,馀眛,,-531,-548,-531,寿梦次子，在位17年（031-014）
吴,诸侯王,馀眛,馀眛,王馀眛,寿梦,馀祭,僚,,-527,-531,-527,"寿梦三子，在位4年（031-014, 031-015）"
吴,诸侯王,僚,僚,王僚,馀眛,馀眛,阖庐,,-515,-527,-515,馀眛之子，031-015。专诸刺王僚（031-017），公元前515年
吴,诸侯王,光,阖庐,吴王阖庐、公子光,诸樊,僚,夫差,,-496,-514,-496,031-018。公元前514年即位，前496年槜李伤亡（031-023）
吴,诸侯王,夫差,夫差,吴王夫差、太子夫差,阖庐,阖庐,,,-473,-495,-473,031-024。前495年即位，前473年越灭吴，夫差自刭（031-031）
吴国,汉诸侯王,刘濞,吴王,,刘仲（高祖兄）,荆王刘贾（荆地改立为吴）,,,-154,-195,-154,
吴（句吴）,诸侯侯君,太伯,太伯,吴太伯,太王（古公亶父）,,仲雍,,,-1100,,约公元前1100年奔荆蛮，自号句吴，为吴国开创者
周,天子/皇帝,昌,文王,西伯昌|姬昌,公季（季历）,公季,武王,-1106,-1056,-1100,-1056,004-008公季卒昌立，004-013文王在位五十年（前1056年）崩，谥文王。004-010羑里之囚，演《易》。
周,天子/皇帝,发,武王,姬发|周武王,文王,文王,成王,,-1043,-1056,-1043,004-013武王立，004-016牧野之战（前1046年），004-022武王崩（前1043年）成王立。
周,天子/皇帝,诵,成王,姬诵|周成王,武王,武王,康王,,-1021,-1043,-1021,004-022成王立（周公摄政），004-027成王崩康王立（前1021年）。
周,天子/皇帝,钊,康王,姬钊|周康王,成王,成王,昭王,,-996,-1021,-996,004-027康王立，004-028成康之治（四十余年）。
周,天子/皇帝,瑕,昭王,周昭王,康王,康王,穆王,,-977,-996,-977,004-029昭王南巡不返于江（前977年），穆王立。
周,天子/皇帝,满,穆王,周穆王,昭王,昭王,共王,,-922,-977,-922,004-029穆王立，004-030征犬戎，004-031制甫刑，004-032穆王在位五十五年（前922年）崩。
周,天子/皇帝,繄扈,共王,周共王,穆王,穆王,懿王,,-900,-922,-900,004-032共王立，004-033共王灭密（前921年）。
周,天子/皇帝,囏,懿王,周懿王,共王,共王,孝王,,,-899,,004-034懿王立（前899年）。
周,天子/皇帝,辟方,孝王,周孝王,,懿王,夷王,,,-895,,004-034孝王立（共王弟）。非子封秦附庸在周孝王时。
周,天子/皇帝,燮,夷王,周夷王,,孝王,厉王,,,-878,-878,004-034夷王立（前878年）。
周,天子/皇帝,胡,厉王,周厉王,夷王,夷王,宣王（经共和行政）,,,-878,-828,004-035厉王暴政（前848年在位三十年），004-036国人暴动（前841年）厉王出奔于彘，004-038共和行政十四年（前828年）厉王崩。
周,天子/皇帝,静,宣王,周宣王,厉王,厉王（共和）,幽王,,,-827,-782,004-039宣王即位中兴（前827年），004-040千亩之战（前789年），004-041料民太原。
周,天子/皇帝,,考王,,,,,,,-440,,015表格提取
周,天子/皇帝,,安王,,,,,,,-401,,015表格提取
周,天子/皇帝,,烈王,,,,,,,-375,,015表格提取
周,天子/皇帝,,显王,,,,,,,-368,,015表格提取
周,天子/皇帝,,慎靓王,,,,,,,-320,,015表格提取
唐（后改晋）,诸侯侯君,虞,唐叔虞,叔虞,武王,,晋侯燮,,,-1040,,039-001/002。武王子成王弟，封于唐
商（殷）,天子/皇帝,天乙,成汤,汤|武汤,主癸,,外丙,,-1587,-1600,-1587,003-009汤践天子位，003-012汤崩。契至汤十四世。在位后十七年灭夏，又十三年死（约前1587年）。
商（殷）,天子/皇帝,,外丙,,汤,成汤,中壬,,,-1587,-1584,003-012汤崩后太丁未立即卒，外丙立，在位三年崩。
商（殷）,天子/皇帝,,中壬,,汤,外丙,太甲,,,-1584,-1580,003-012外丙崩，中壬立，在位四年崩。
商（殷）,天子/皇帝,,太甲,太宗,太丁（汤长子）,中壬,沃丁,,-1568,-1580,-1568,003-013伊尹立太甲，003-014伊尹放太甲于桐宫（即位三年），003-015太甲悔过复位，被称为太宗。在位约十二年。
商（殷）,天子/皇帝,,沃丁,,太宗（太甲）,太甲,太庚,,,-1568,,003-016太宗崩沃丁立，伊尹卒于其时。
商（殷）,天子/皇帝,,太庚、小甲、雍己（殷道中衰诸王）,,,沃丁,太戊,,,-1530,-1490,003-017殷道中衰，沃丁崩—太庚—小甲—雍己，诸侯不朝。
商（殷）,天子/皇帝,,太戊,中宗,雍己之弟,雍己,中丁,,,-1490,-1430,003-018太戊修德复兴，被称为中宗。用伊陟、巫咸。
商（殷）,天子/皇帝,,中丁,,太戊,太戊,外壬,,,-1430,,003-019中宗崩子中丁立，迁都于隞。
商（殷）,天子/皇帝,,外壬、河亶甲、祖乙、祖辛等（九世之乱诸王）,,,中丁,阳甲,,,-1400,-1300,003-020祖乙复兴，003-021九世之乱：祖辛、沃甲、祖丁、南庚、阳甲。
商（殷）,天子/皇帝,,盘庚,,,阳甲,小辛,,,-1300,-1270,003-022盘庚迁殷（前1300年），行汤之政，殷道复兴。
商（殷）,天子/皇帝,,小辛、小乙,,,盘庚,武丁,,,-1270,-1250,003-023小辛小乙传承。
商（殷）,天子/皇帝,,武丁,,小乙,小乙,祖庚,,-1192,-1250,-1192,003-024武丁得傅说，003-025修政兴殷，003-026崩（前1192年）祖庚立。
商（殷）,天子/皇帝,,祖庚、祖甲（淫乱衰落）,,武丁,武丁,廪辛,,,-1192,-1147,003-026武丁崩祖庚立，003-027祖甲淫乱衰落。
商（殷）,天子/皇帝,,廪辛、庚丁、武乙,,,祖甲,帝乙,,-1113,-1147,-1113,003-028殷复迁河北，003-029武乙射天暴死（前1113年）。
商（殷）,天子/皇帝,,帝乙,,武乙,武乙,帝纣,,,-1113,-1080,003-030帝乙立，欲立长子微子启但以生时母贱故立少子辛（纣）为嗣。
商（殷）,天子/皇帝,辛,帝纣,纣王|商纣,帝乙,帝乙,,,-1046,-1080,-1046,003-031纣王暴政，003-040牧野之战（前1046年），003-017纣自焚于鹿台而死。
城阳国,汉诸侯王,刘喜,城阳共王,,刘章（城阳景王）,城阳景王,城阳顷王,,,,,052齐悼惠王世家。城阳景王章子，立八年，徙王淮南，四年，复还王城阳，凡三十三年卒。
城阳国,汉诸侯王,刘延,城阳顷王,,刘喜（城阳共王）,城阳共王,城阳敬王,,,,,052齐悼惠王世家。城阳共王喜子，立二十年卒。
城阳国,汉诸侯王,刘义,城阳敬王,,刘延（城阳顷王）,城阳顷王,城阳惠王,,,,,052齐悼惠王世家。城阳顷王延子，立九年卒。
城阳国,汉诸侯王,刘武,城阳惠王,,刘义（城阳敬王）,城阳敬王,城阳荒王,,,,,052齐悼惠王世家。城阳敬王义子，立十一年卒。（与梁孝王刘武同名，但为不同人）
城阳国,汉诸侯王,刘顺,城阳荒王,,刘武（城阳惠王）,城阳惠王,城阳戴王,,,,,052齐悼惠王世家。城阳惠王武子，立四十六年卒。
城阳国,汉诸侯王,刘恢,城阳戴王,,刘顺（城阳荒王）,城阳荒王,城阳景王（后任）,,,,,052齐悼惠王世家。城阳荒王顺子，立八年卒。
城阳国,汉诸侯王,刘章,城阳景王（初封朱虚侯）,朱虚侯,齐悼惠王刘肥,,（城阳后嗣）,,,-178,,
城阳国,汉诸侯王,刘景,城阳景王（后任）,,刘恢（城阳戴王）,城阳戴王,,,-27,-40,-27,052齐悼惠王世家。城阳戴王恢子，至建始三年，十五岁，卒（建始三年=前30年，但登基年约推算自父卒后）。注意与城阳景王刘章（首代）区分。
塞,诸侯王,司马欣,塞王,,,,,,-205,-206,-206,016表。前206年项羽封故秦将司马欣为塞王，都栎阳。前206年欣降汉，国除。
夏,天子/皇帝,文命,夏禹,大禹|伯禹,鲧,帝舜,夏后帝启,,-2061,-2070,-2061,鲧之子，帝颛顼之孙。002-025即天子位，002-028东巡崩于会稽，在位约十年。
夏,天子/皇帝,启,夏后帝启,,禹,益（禅让）,帝太康,,-2000,-2058,-2000,002-029益让启即位，002-033启崩太康立。
夏,天子/皇帝,太康,帝太康,,启,帝启,帝中康,,,-2000,-1980,002-033启崩太康立，002-034太康失国（洛汭）。
夏,天子/皇帝,中康,帝中康,,,帝太康,帝相,,,-1980,,002-035中康立。
夏,天子/皇帝,,帝相至帝廑（中期诸王）,,,帝中康,帝孔甲,,,-1850,-1700,002-036夏朝中期世系，帝相至帝廑数代。
夏,天子/皇帝,孔甲,帝孔甲,,,,帝皋,,,-1700,-1650,002-037孔甲立德衰。002-038刘累豢龙事件。
夏,天子/皇帝,履癸,夏桀,桀,帝发,帝发,,,-1600,-1650,-1600,002-039孔甲崩至桀立：帝皋-帝发-履癸（桀）。002-042汤伐桀于鸣条，002-043桀走鸣条放死。
夜郎,诸侯王,多同,夜郎侯（夜郎王）,夜郎侯多同,,,,,,,,116-002建元六年唐蒙入夜郎见夜郎侯多同，喻以威德，约为置吏。116-006南越反后，夜郎遂入朝，上以为夜郎王。
宋,诸侯侯君,,湣公,宋湣公（宋闵公）,庄公,庄公,桓公（御说）,,-682,,-682,038-011。十一年南宫万弑湣公于蒙泽（前682年）
宋,诸侯侯君,御说,桓公,宋桓公,,公子游（短暂）,襄公,,,,,038-011。诸公子击杀南宫牛、公子游立御说为桓公
宋,诸侯侯君,,襄公,宋襄公,桓公,桓公,成公,,-637,,-637,038-012/013。泓之战败于楚（前638年），伤股，次年卒
宋,诸侯侯君,开,微子,微子开,帝乙,,微仲衍,,,-1040,,038-007。周公命微子开代殷后，国于宋。纣庶兄，仁贤
宋,诸侯侯君,鲒,惠公,,,,,,,-830,,014表格提取
宋,诸侯侯君,,戴公,,,,,,,-799,,014表格提取
宋,诸侯侯君,,哀公,宋哀公,惠公琤,惠公,戴公,,-799,-799,-799,038-007。惠公卒，子哀公立；哀公元年卒，子戴公立。在位仅一年。014表：800年宋惠公薨，799年宋戴公立。哀公在位800-799年。
宋,诸侯侯君,司空,武公,,,,,,,-765,,014表格提取
宋,诸侯侯君,,宣公,,,,穆公,,-720,-747,-720,038-009。十九年病，让弟和（穆公）
宋,诸侯侯君,和,穆公,,,宣公,殇公与夷,,-720,-720,-720,038-009。九年病，遗命立与夷；使冯出居郑
宋,诸侯侯君,与夷,殇公,,宣公,穆公,庄公,,-710,-719,-710,038-010。前710年华督弑殇公
宋,诸侯侯君,冯,庄公,,穆公,殇公,湣公,,,-710,,038-010。华督迎穆公子冯于郑立为庄公
宋,诸侯王,王臣,成公,,,,,,,-636,,014表格提取。宋成公，名王臣。
宋,诸侯侯君,杵臼,昭公,,,,,,,-619,,014表格提取
宋,诸侯侯君,,文公,,,昭公（被杀）,共公,,,-611,,038-015。昭公弟鲍革，襄公夫人助立，前611年即位
宋,诸侯侯君,瑕,共公,,,,,,,-588,,014表格提取
宋,诸侯侯君,成,平公,,,,,,,-575,,014表格提取
宋,诸侯侯君,佐,元公,,,,,,,-531,,014表格提取
宋,诸侯侯君,,景公,宋景公,,,昭公（后昭）,,-469,-516,-469,038-016/017。在位64年，前516-前469年
宋,诸侯侯君,,昭公,,,,,,,-450,,015表格提取
宋,诸侯侯君,,悼公,,,,,,,-403,,015表格提取
宋,诸侯侯君,,休公,,,,,,,-395,,015表格提取
宋,诸侯侯君,,辟公,,,,,,,-372,,015表格提取
宋,诸侯侯君,剔成,,,,,,,,-369,,015表格提取
宋,诸侯王,,王偃,宋康王、宋王偃,,剔成（兄，被袭）,,,-286,-329,-286,038-018/019。前318年自立为王，前286年齐湣王与魏楚灭宋
山阳国,汉诸侯王,刘定,山阳哀王,,梁孝王刘武,,,,-136,-144,-136,
常山,诸侯王,张耳,常山王,,,赵王歇（常山王）,,,-202,-206,-202,016表。前206年项羽封张耳为常山王，都襄国。前205年耳降汉。前202年薨，子敖立为赵王（汉诸侯王）。（注：常山宪王张敖已收录，张耳本人未收录。）
常山国,汉诸侯王,刘舜,常山宪王,,景帝刘启,,常山王刘勃,,-113,-145,,
常山国,汉诸侯王,刘勃（常山王）,（废，无谥）,,常山宪王刘舜,常山宪王刘舜,,,,-113,-113,
广川国,汉诸侯王,刘齐,,,刘越（广川惠王）,广川惠王,,,,,,059五宗世家。广川惠王越子，立为广川王。有幸臣桑距，后距上书告王齐与同产奸，王齐数上书告汉公卿。谥号史记未载。
广川国,汉诸侯王,刘越,广川惠王,,景帝刘启,,广川王刘齐,,-136,-148,,
广阳国,汉诸侯王,刘建,广阳王,,刘旦（燕王）,,,,,-73,,060三王世家（褚先生曰）。燕王旦故太子，宣帝本始元年（前73年）立为广阳王，以奉燕王祭祀。（与菑川靖王刘建、江都王刘建同名，为不同人）
广陵国,汉诸侯王,刘胥,（广陵王，祝诅自杀，无谥）,,武帝刘彻,,,,-54,-117,-54,
张楚（陈）,诸侯王,胜,楚隐王,陈胜|陈涉,,,楚王景驹,,-208,-209,-208,016表。前209年七月阳城人陈胜（字涉）起兵，自立为楚王，国号张楚，都陈。前208年十二月死。
徐,诸侯王,,偃王,徐偃王,,,,,,,,周穆王时作乱，造父御周穆王，日驰千里平乱。见秦本纪005-004、赵世家043-001。
徐,诸侯侯君,,徐君,,,,,,-544,,,季札出使路经徐国，好季札宝剑不敢言。季札归途至徐，徐君已死，解剑系于冢树。约前544年卒。见吴太伯世家031-011。
息,诸侯侯君,,息侯,,,,,,,,,楚文王时，请楚伐蔡，蔡哀侯被虏。约前684年活动。见管蔡世家035-006。息国后被楚灭。
晋,诸侯侯君,,景公,晋景公,,成公,厉公,,,,,039-028/030。前583年赵氏复位（景公十七年）
